Date,Platform,Daily Active Users (DAU),New Registrations,Session Duration (minutes),In-game Purchases ($),Social Media Mentions,Stream Viewership,Revenue ($),Top Genre,Influencer Endorsements
2022-04-13,PC,142204,14220,31.26663517723865,60772.72406008391,7116,85079.54276643321,87378.40758958894,Action,0
2021-03-17,PC,132314,13231,23.31443583108024,43499.83444985586,6582,64188.42057566997,41132.11375077948,Action,0
2019-03-09,VR,111557,11155,33.85933430235799,52178.79131396489,5572,34385.66578808094,71787.34204137765,Simulation,0
2021-03-31,Console,132909,13290,80.58001029647639,25085.562444062,6619,43129.91570688823,18639.64115615618,RPG,0
2021-02-04,Mobile,130694,13069,37.27090314705249,55277.07443914834,6555,69341.38982693356,63849.95974957958,Action,0
2022-05-05,PC,143731,14373,48.8496175656616,28236.81172442309,7088,65182.86741396299,17343.95413233272,Simulation,0
2018-05-25,PC,104264,10426,52.4735994817472,36333.08656938105,5123,29588.68878148995,20798.0871922978,RPG,2
2021-07-24,Console,135586,13558,58.64575429068147,65920.96975312957,6828,55361.32371380995,36327.50553504805,FPS,0
2022-05-10,VR,142277,14227,67.01901073239401,22325.15298268865,7060,30574.64015441024,17590.71434326672,Simulation,0
2018-04-20,VR,103451,10345,63.73872887901454,36817.42436281398,5232,44473.71233212805,23876.47158642194,Action,5
2019-11-19,Console,118823,11882,65.24326803093707,52148.75664746454,6098,70906.21833526061,40590.33300432572,Adventure,0
2023-02-15,VR,150676,15067,73.20832593827492,31595.3889126289,7557,77164.58933019766,38316.97433304467,FPS,0
2021-08-11,PC,136165,13616,41.08843749770118,23485.78640012784,6815,36804.35575591844,28222.10233881952,FPS,0
2021-11-14,Mobile,139165,13916,61.93735290367431,30379.02551850114,6923,86423.93319761727,22252.87145690797,FPS,0
2020-09-26,VR,127692,12769,82.24506228537288,48949.5125159934,6406,75725.04417736737,59524.20981784629,FPS,0
2022-02-17,Mobile,140860,14086,50.15652323079445,63631.68256312938,7022,63434.65054083888,61733.15722069867,Simulation,0
2018-05-26,Console,104063,10406,60.00639314166857,18869.97769290796,5240,63321.21333843992,11895.85729330157,FPS,0
